anonymized_location_id,anonymized_brand_id (brands contain multiple locations),location_address,location_city,location_state,location_zip_code,Day of location_creation,location_latitude,location_longitude,stars_avg,service_type,check_avg,venue_type,location_name,Cuisine Types
1,2184.0,280 East 12300 South,Draper,UT,84020,2017-05-17,40.525296,-111.882849,,unknown,mid,cafe,Draper,"Casual, Fine Dining, Takeout"
2,2184.0,1856 5400 S,Salt Lake City,UT,84118,2017-05-17,40.6534832,-111.9421639,,unknown,mid,cafe,Taylorsville,"Casual, Fine Dining, Takeout"
7,2621.0,1827 Jefferson Pl NW,Washington,DC,20036,2017-12-13,38.9066185,-77.0427962,4.6,unknown,mid,bar,St Arnolds - Jefferson,
8,2621.0,3433 Connecticut Ave NW,Washington,DC,20008,2017-12-13,38.9353506,-77.0580204,4.4,unknown,mid,bar,St Arnolds - Cleveland Park,
9,2621.0,3433 Connecticut Ave NW,Washington,DC,20008,2017-12-13,38.9353506,-77.0580204,4.0,unknown,mid,bar,The Abbey,
10,2621.0,7525 Old Georgetown Road,Bethesda,MD,20814,2017-12-13,38.9854477,-77.0947122,4.4,unknown,mid,bar,Tyber Bierhaus,
11,1157.0,3407 Connecticut Ave NW,Washington,DC,20008,2018-01-11,38.9347623,-77.0575145,4.0,unknown,mid,casual_dining,Fat Pete's - Cleveland Park,
12,1157.0,7406 Baltimore Ave,Washington,DC,20740,2018-01-11,38.9811554,-76.9381758,4.0,unknown,mid,casual_dining,Fat Pete's - College Park,
13,1157.0,801 18 St NW,Washington,DC,20006,2018-01-11,38.9004998,-77.0413794,4.0,unknown,mid,casual_dining,Fat Pete's - 18th Street,
14,1157.0,3421 Connecticut Ave NW,Washington,DC,20008,2018-01-11,38.9350633,-77.0576944,4.2,unknown,mid,casual_dining,Cleveland Park Bar & Grill,
17,416.0,1912 E 7th St,Austin,TX,78702,2018-01-25,30.2626233,-97.7208363,4.4,unknown,mid,casual_dining,Dining Room,
18,416.0,1912 E 7th St,Austin,TX,78702,2018-01-25,30.2626233,-97.7208363,4.4,unknown,mid,casual_dining,Butcher Shop,
